Condition_numeric,type,condition_category,Strain,corrected_individual_rate,corrected_individual_OD,order,Species,SILVA_phylum,SILVA_class,SILVA_order,SILVA_family,SILVA_genus,phylum_color,class_color,order_color,family_color
5,pH,pH 4,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
5,pH,pH 4,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
5,pH,pH 4,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
6,pH,pH 5.5,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
6,pH,pH 5.5,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
6,pH,pH 5.5,Varibaculum cambriense AB12_3 HM-1190,0,0,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
7,pH,pH 6.9,Varibaculum cambriense AB12_3 HM-1190,0.057759967,0.677,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
7,pH,pH 6.9,Varibaculum cambriense AB12_3 HM-1190,0.02657865,0.462,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
7,pH,pH 6.9,Varibaculum cambriense AB12_3 HM-1190,0.024165784,0.395,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
8,pH,pH 7.4,Varibaculum cambriense AB12_3 HM-1190,0.034509968,0.558,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
8,pH,pH 7.4,Varibaculum cambriense AB12_3 HM-1190,0.031414103,0.548,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
8,pH,pH 7.4,Varibaculum cambriense AB12_3 HM-1190,0.028683407,0.491,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
3,osmolality,lowest osmolality,Varibaculum cambriense AB12_3 HM-1190,0.032388407,0.476,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
3,osmolality,lowest osmolality,Varibaculum cambriense AB12_3 HM-1190,0.03470858,0.504,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
3,osmolality,lowest osmolality,Varibaculum cambriense AB12_3 HM-1190,0.032488802,0.445,1,Varibaculum cambriense,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,#e69f00,#e9a91a,#ebb231,#f1c96f
