Condition_numeric,type,condition_category,Strain,category_magnitude,delta_pH,corrected_individual_rate,corrected_individual_OD,corrected_lag_time,condition,SILVA_phylum,SILVA_class,SILVA_order,SILVA_family,SILVA_genus,,,,
3,osmolality,condition 1: lowest osmolality,Acidaminococcus intestini D21 HM-81,1,NaN,0.250927634,0.923,17.10138889,434,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
3,osmolality,condition 1: lowest osmolality,Acidaminococcus intestini D21 HM-81,1,NaN,0.262818326,0.929,17.32305556,434,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
3,osmolality,condition 1: lowest osmolality,Acidaminococcus intestini D21 HM-81,1,NaN,0.274458158,0.929,17.10138889,434,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Acidaminococcus intestini D21 HM-81,2,NaN,0.052121226,0.567,96.71972222,896,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Acidaminococcus intestini D21 HM-81,2,NaN,0.123700689,0.802,89.61888889,896,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
4,osmolality,condition 2: ~890 mOsm/kg,Acidaminococcus intestini D21 HM-81,2,NaN,0.130695726,0.733,0.033888889,896,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Acidaminococcus intestini D21 HM-81,3,0,0,0,0,1173,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Acidaminococcus intestini D21 HM-81,3,0,0,0,0,1173,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
1,osmolality,condition 3: ~1170 mOsm/kg,Acidaminococcus intestini D21 HM-81,3,0,0,0,0,1173,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Acidaminococcus intestini D21 HM-81,4,0,0,0,0,1823,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Acidaminococcus intestini D21 HM-81,4,0,0,0,0,1823,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
2,osmolality,condition 4: ~1800 mOsm/kg,Acidaminococcus intestini D21 HM-81,4,0,0,0,0,1823,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
5,pH,pH 4,Acidaminococcus intestini D21 HM-81,4,0,0,0,0,4,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
5,pH,pH 4,Acidaminococcus intestini D21 HM-81,4,0,0,0,0,4,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
5,pH,pH 4,Acidaminococcus intestini D21 HM-81,4,0,0,0,0,4,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
6,pH,pH 5.5,Acidaminococcus intestini D21 HM-81,3,0.455746097,0.0207138,0.212,76.52944444,5.5,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
6,pH,pH 5.5,Acidaminococcus intestini D21 HM-81,3,0,0.030240446,0.269,0.033888889,5.5,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
6,pH,pH 5.5,Acidaminococcus intestini D21 HM-81,3,0.506237602,0.031069866,0.284,70.54027778,5.5,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,,,,
